Product line,Total,Payment,City
Health and beauty,50.48,Ewallet,Yangon
Electronic accessories,80.22,Cash,Mandalay
Home and lifestyle,120.50,Credit card,Naypyitaw
Sports and travel,95.30,Ewallet,Yangon
Food and beverages,200.10,Cash,Mandalay
Fashion accessories,150.75,Credit card,Naypyitaw
Health and beauty,300.00,Cash,Yangon
Electronic accessories,250.40,Ewallet,Mandalay
Home and lifestyle,180.90,Credit card,Yangon
Sports and travel,210.60,Cash,Naypyitaw
Food and beverages,320.80,Ewallet,Yangon
Fashion accessories,90.15,Cash,Mandalay
Health and beauty,175.25,Credit card,Naypyitaw
Electronic accessories,140.70,Ewallet,Yangon
Food and beverages,410.90,Cash,Mandalay
